alive,alive_since,anonymity,average_timeout,first_seen,ip_data_as,ip_data_asname,ip_data_city,ip_data_continent,ip_data_continentCode,ip_data_country,ip_data_countryCode,ip_data_district,ip_data_hosting,ip_data_isp,ip_data_lat,ip_data_lon,ip_data_mobile,ip_data_org,ip_data_proxy,ip_data_regionName,ip_data_status,ip_data_timezone,ip_data_zip,ip_data_last_update,last_seen,port,protocol,proxy,ssl,timeout,times_alive,times_dead,uptime,ip
true,1758182644.1859,elite,116.1040314359,1754411481.7778,"AS13335 Cloudflare, Inc.",CLOUDFLARENET,Washington,"North America",NA,"United States",US,,true,"Cloudflare, Inc.",38.9072,-77.0369,false,"CloudFlare, Inc.",false,"District of Columbia",success,America/New_York,20068,1762880497,1762954784.0155,80,http,http://141.101.113.101:80,false,66.826343536377,57618,100,99.826743823417,141.101.113.101
true,1759218095.3191,elite,110.16710003679,1720501647.602,"AS13335 Cloudflare, Inc.",CLOUDFLARENET,Toronto,"North America",NA,Canada,CA,,true,"Cloudflare, Inc.",43.6532,-79.3832,false,"Cloudflare, Inc.",false,Ontario,success,America/Toronto,M5A,1762848658,1762954784.0044,80,http,http://108.162.195.101:80,false,39.43133354187,83405,4349,95.044100553821,108.162.195.101
true,1759218209.0361,elite,121.52050588932,1756298423.0448,"AS209242 Cloudflare London, LLC",CLOUDFLARESPECTRUM,Moscow,Europe,EU,Russia,RU,,true,"Cloudflare London, LLC",55.8273,37.4661,false,"""BaltTrade"" LLC",true,Moscow,success,Europe/Moscow,,1762952396,1762954783.852,80,http,http://185.221.160.211:80,false,55.135488510132,44698,101,99.77454853903,185.221.160.211
true,1759218093.8762,elite,110.26593170178,1742341213.9795,"AS209242 Cloudflare London, LLC",CLOUDFLARESPECTRUM,Moscow,Europe,EU,Russia,RU,,true,"Cloudflare London, LLC",55.8273,37.4661,false,"""BaltTrade"" LLC",true,Moscow,success,Europe/Moscow,,1762848729,1762954783.6206,80,http,http://185.221.160.199:80,false,155.62152862549,80654,3371,95.988098780125,185.221.160.199
true,1758993495.1247,elite,135.51631881619,1758993495.1247,"AS13335 Cloudflare, Inc.",CLOUDFLARENET,Toronto,"North America",NA,Canada,CA,,true,"Cloudflare, Inc.",43.6532,-79.3832,false,"Cloudflare, Inc.",false,Ontario,success,America/Toronto,M5A,1762623250,1762954783.5584,80,http,http://108.162.193.99:80,false,197.81136512756,29730,0,100,108.162.193.99
true,1758176766.2549,elite,121.90453820644,1756298328.6867,"AS14197 HEALTH MARKET SCIENCE",HMS-ASN,"Boca Raton","North America",NA,"United States",US,,false,"Health Market Science",26.4076,-80.0977,false,"LexisNexis Risk Data Management Inc",true,Florida,success,America/New_York,33487,1762952557,1762954783.3494,80,http,http://69.84.182.85:80,false,19.196748733521,46026,83,99.819991758659,69.84.182.85
true,1761067987.4748,elite,139.90887153371,1761067987.4748,"AS13335 Cloudflare, Inc.",CLOUDFLARENET,"San Francisco","North America",NA,"United States",US,"South Beach",true,"Cloudflare, Inc.",37.7803,-122.39,false,"Level 3",false,California,success,America/Los_Angeles,94107,1762882683,1762954783.2521,80,http,http://8.35.211.113:80,false,93.972682952881,13656,0,100,8.35.211.113
true,1761069825.928,elite,138.70508227428,1761069825.928,"AS13335 Cloudflare, Inc.",CLOUDFLARENET,Toronto,"North America",NA,Canada,CA,,true,"Cloudflare, Inc.",43.6532,-79.3832,false,"Cloudflare, Inc.",false,Ontario,success,America/Toronto,M5A,1762884444,1762954783.0394,80,http,http://108.162.193.117:80,false,395.35903930664,13653,0,100,108.162.193.117
true,1758183157.4811,elite,111.37822053315,1742334274.3506,"AS209242 Cloudflare London, LLC",CLOUDFLARESPECTRUM,"Frankfurt am Main",Europe,EU,Germany,DE,,true,"Gerondata LTD",50.1109,8.68213,false,"Gerondata LTD",true,Hesse,success,Europe/Berlin,60313,1762848808,1762954783.0384,80,http,http://102.177.176.236:80,false,375.32830238342,78741,1555,98.063415363156,102.177.176.236
true,1761555691.4461,elite,111.56362959314,1742461901.3735,"AS14197 HEALTH MARKET SCIENCE",HMS-ASN,"Boca Raton","North America",NA,"United States",US,,false,"Health Market Science",26.4076,-80.0977,false,"LexisNexis Risk Data Management Inc",true,Florida,success,America/New_York,33487,1762849174,1762954782.9924,80,http,http://69.84.182.242:80,false,144.87195014954,82745,957,98.856658144369,69.84.182.242
true,1758186035.7037,elite,110.73553116951,1743004959.7723,"AS201839 Zaymer PJSC",ZAYMER2-AS,Novosibirsk,Europe,EU,Russia,RU,,false,"MFC Zaymer LLC",55.0386,82.9425,false,"Zaymer PJSC",true,"Novosibirsk Oblast",success,Asia/Novosibirsk,630000,1762848783,1762954782.9427,80,http,http://45.67.215.75:80,false,144.19531822205,80971,1085,98.677732280394,45.67.215.75
true,1759218226.8067,elite,110.08002915398,1742460152.4164,"AS201839 Zaymer PJSC",ZAYMER2-AS,Novosibirsk,Europe,EU,Russia,RU,,false,"MFC Zaymer LLC",55.0386,82.9425,false,"Zaymer PJSC",true,"Novosibirsk Oblast",success,Asia/Novosibirsk,630000,1762849046,1762954782.777,80,http,http://45.67.215.47:80,false,72.416067123413,81221,3341,96.049052766018,45.67.215.47
true,1761065821.2708,elite,139.19833384106,1761065821.2708,"AS13335 Cloudflare, Inc.",CLOUDFLARENET,"San Francisco","North America",NA,"United States",US,"South Beach",true,"Cloudflare, Inc.",37.7803,-122.39,false,"Level 3",false,California,success,America/Los_Angeles,94107,1762880623,1762954782.683,80,http,http://8.35.211.186:80,false,327.03590393066,13658,0,100,8.35.211.186
true,1761065935.6248,elite,137.57085445259,1761065935.6248,"AS13335 Cloudflare, Inc.",CLOUDFLARENET,Washington,"North America",NA,"United States",US,,true,"Cloudflare, Inc.",38.9072,-77.0369,false,"CloudFlare, Inc.",false,"District of Columbia",success,America/New_York,20068,1762880639,1762954782.6624,80,http,http://141.101.114.233:80,false,385.35594940186,13301,0,100,141.101.114.233
true,1762128840.4075,elite,136.95758725839,1761067177.6941,"AS13335 Cloudflare, Inc.",CLOUDFLARENET,Washington,"North America",NA,"United States",US,,true,"Cloudflare, Inc.",38.9072,-77.0369,false,"CloudFlare, Inc.",false,"District of Columbia",success,America/New_York,20068,1762881917,1762954782.4503,80,http,http://141.101.114.75:80,false,32.401323318481,13307,2,99.984972574949,141.101.114.75
true,1761913998.885,elite,110.34346139231,1742551368.5528,"AS201839 Zaymer PJSC",ZAYMER2-AS,Novosibirsk,Europe,EU,Russia,RU,,false,"MFC Zaymer LLC",55.0386,82.9425,false,"Zaymer PJSC",true,"Novosibirsk Oblast",success,Asia/Novosibirsk,630000,1762848967,1762954782.1815,80,http,http://45.67.215.108:80,false,57.438135147095,81154,3039,96.390436259547,45.67.215.108
true,1761065867.6358,elite,138.91816783266,1761065867.6358,"AS13335 Cloudflare, Inc.",CLOUDFLARENET,"San Francisco","North America",NA,"United States",US,"South Beach",true,"Cloudflare, Inc.",37.7803,-122.39,false,"Level 3",false,California,success,America/Los_Angeles,94107,1762880442,1762954781.9925,80,http,http://8.35.211.129:80,false,38.803100585938,13661,0,100,8.35.211.129
